Test,Hat
123.73000000000002,135.70668
134.55,130.29974
138.15,136.85312
135.92,139.25517
106.17,136.60652
124.54,134.59926
144.57,139.93695
137.94,135.95105
134.18,136.23332
125.19000000000001,135.39767
111.11,121.01341
136.79,136.34706
123.35,128.91515
148.19,130.94188
132.09,135.29329
125.86,132.95016
145.21,138.1868
132.04,144.17088
129.47,123.0728
131.01,141.45027
125.67999999999999,122.03827
149.23,139.17067
136.62,138.16971
127.43,135.88156
129.42,132.77896
151.65,133.70415
124.83,130.24915
125.63,120.284134
132.38,135.23747
171.46000000000004,146.98526
131.53,140.07468
137.46,129.63571
125.95,134.81564
126.64999999999999,123.05455
117.16,124.40436
114.24,126.24062
119.8,126.731674
123.15,131.89877
146.56,123.01036
132.42,129.40324
138.48,137.8208
133.11,115.10039
128.02,130.7148
155.72000000000003,146.83739
103.43,115.90171
124.21,134.86728
137.18,129.2362
132.07,126.329
120.73,132.8469
139.53,135.59871
133.14,123.52277
138.57,134.04501
121.11,132.48224
142.48,146.18527
134.32,136.2241
123.64,127.05642
113.02,122.944664
146.6,126.52255
137.35,131.44067
165.49999999999997,133.7214
113.596,117.46498
130.87,140.73428
138.4,129.69612
115.85000000000001,124.19818
154.68,149.23154
119.03,128.9575
128.82,133.5711
141.2,135.52913
138.49,134.4709
130.31,136.48552
131.36,128.28682
148.02,133.56245
116.97,120.664085
144.44,137.28226
140.72,138.49551
138.85,125.486824
145.5,140.10603
138.94,132.97168
120.03999999999999,127.55236
145.79,142.84169
131.44,134.77022
138.6,136.52513
129.94,135.29916
130.48,127.70189
141.67,136.66924
112.15,126.81411
123.79,133.05495
114.45,125.21886
135.14,143.55186
131.43,136.6205
147.14,127.46412
160.28,151.75006
143.02,139.47989
151.33,138.77849
140.16,133.25339
128.23,133.36716
140.8,138.96948
155.20999999999998,142.57977
137.23,140.38701
132.44,135.74146
128.35,138.5612
120.79000000000002,123.86005
145.25,130.73114
136.07,132.80678
141.43,140.65688
139.28,137.41924
144.96,137.8686
130.84,133.17198
131.01,137.42775
136.91,134.91934
123.99,128.40619
130.03,134.05772
139.36,141.3678
126.35,129.16183
140.17,129.99521
131.38,130.2663
128.59,139.77147
134.33,130.86191
135.86,133.09895
124.90999999999998,132.53955
147.12,134.95563
126.64999999999999,124.35765
149.35,134.5586
112.26,121.320465
122.57,120.651535
130.22,134.83437
119.88,133.08334
138.91,135.95961
125.97,125.2747
141.66,133.57333
135.24,138.50328
140.76,138.21457
164.2,146.8239
118.67,122.053345
152.22999999999996,129.18251
125.61,136.48924
140.49,138.64233
137.66,134.01212
107.89,117.553215
138.63,136.91052
136.13,134.73784
137.22,136.54376
167.36,127.48737
127.68,125.51211
129.32,139.2596
117.03,116.005005
124.19999999999999,133.52022
120.13,130.60342
148.0,137.23004
110.12,124.43311
144.99,138.1388
153.93,134.79253
154.21999999999997,137.80971
107.42,117.7653
140.78,132.06233
129.748,143.6011
120.13,118.1523
137.72,134.72523
139.64,139.45131
120.71,131.63658
151.55499999999998,141.3093
116.46,121.354385
